eoi,year,observed,prediction,n,n_sampled,stratum,method,protocol
SK0045A,2024,0.5517336538461538,0.48572088819230774,104,104,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0045A,2025,0.4586486486486486,0.43945128189189187,74,74,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0048A,2024,0.19027164179104478,0.7263441529179104,134,134,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0048A,2025,0.19674789915966387,0.8347200229327731,119,119,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0050A,2024,0.9373400000000001,0.8487317222909091,165,165,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0050A,2025,0.855475,0.7936216037916667,120,120,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0061A,2024,0.3596550458715596,0.4954627260963303,109,109,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0061A,2025,0.28588617886178863,0.49550322688617887,123,123,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0066A,2024,1.408934328358209,1.2262930970597015,134,134,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0066A,2025,1.2047874015748032,0.9230867828582677,127,127,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0070A,2024,2.183129166666667,2.042772560770833,96,96,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0070A,2025,1.8754318181818184,1.6058785792045454,88,88,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0071A,2024,2.0584204918032785,1.9241504371065574,122,122,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0071A,2025,1.5632685185185184,1.4334804274814814,108,108,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0076A,2024,0.49729646017699114,0.2403229825115044,113,113,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0076A,2025,0.39205555555555555,1.0498010687962962,108,108,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0078A,2024,2.155560344827586,1.861475972551724,116,116,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0078A,2025,2.0732371134020617,1.751917784041237,97,97,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0214A,2024,1.0126264462809917,0.9892820649793389,121,121,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0214A,2025,1.1335981308411216,0.9470763996682243,107,107,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0263A,2024,0.7357486725663717,0.6764721850442478,113,113,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0263A,2025,0.7383177570093458,0.5963643446168224,107,107,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0265A,2024,1.7921026785714285,1.274947003375,112,112,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0265A,2025,1.9814957264957265,1.3636984879316238,117,117,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0269A,2024,0.5201866071428571,0.47384186823214286,112,112,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0269A,2025,0.46375714285714287,0.4270818428428571,140,140,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0002A,2024,0.48551416666666664,0.45950198749166665,120,120,lower,G_PLUS_P|log1p|uniform|strict18|500m,block30
