method,protocol,estimand,support,period,scope,n,n_stations,RMSE,MAE,bias,agreement_R2
G_PLUS_P|log1p|uniform|permissive|500m,year_out,daily,all_expected_targets,primary_2024_2025,nonindustrial_higher,2394,10,1.0665967454243683,0.5439600220568087,0.012673761879699253,0.8212013388603173
G_PLUS_P|log1p|uniform|permissive|500m,year_out,daily,all_expected_targets,primary_2024_2025,nonindustrial_lower,2458,10,0.43194487213976107,0.1948777575663141,0.02167929586411717,0.6602332034382876
G_PLUS_P|log1p|uniform|strict18|500m,block30,daily,all_expected_targets,all_period,all_network,6462,21,1.4582086456513021,0.48455070320784593,-0.11006431701805941,0.6926203219149332
G_PLUS_P|log1p|uniform|strict18|500m,block30,daily,all_expected_targets,all_period,nonindustrial,6150,20,0.8633141959635567,0.3472213018128618,-0.05017282657409756,0.826686331184429
G_PLUS_P|log1p|uniform|strict18|500m,block30,daily,all_expected_targets,all_period,industrial_descriptive,312,1,5.417491165115826,3.1915244807051284,-1.2906177344230767,0.22573869918992417
G_PLUS_P|log1p|uniform|strict18|500m,block30,daily,all_expected_targets,all_period,nonindustrial_higher,2394,10,1.0285051239689151,0.5118585422234754,-0.0222296340497076,0.8337442503678699
G_PLUS_P|log1p|uniform|strict18|500m,block30,daily,all_expected_targets,all_period,nonindustrial_lower,2458,10,0.39071580693222996,0.17223849885471929,0.0048702691320179,0.7219990670478307
G_PLUS_P|log1p|uniform|strict18|500m,block30,daily,all_expected_targets,primary_2024_2025,all_network,5089,21,1.3806991398456794,0.47432620282921995,-0.06775689388455493,0.7039194002715274
G_PLUS_P|log1p|uniform|strict18|500m,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial,4852,20,0.7741259987377644,0.3398086521574402,-0.008500952676937342,0.8426566439618234
G_PLUS_P|log1p|uniform|strict18|500m,block30,daily,all_expected_targets,primary_2024_2025,industrial_descriptive,237,1,5.353988521375264,3.2282466916877635,-1.2808785256962025,0.23378373381066087
G_PLUS_P|log1p|uniform|strict18|500m,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial_higher,2394,10,1.0285051239689151,0.5118585422234754,-0.0222296340497076,0.8337442503678699
G_PLUS_P|log1p|uniform|strict18|500m,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial_lower,2458,10,0.39071580693222996,0.17223849885471929,0.0048702691320179,0.7219990670478307
G_PLUS_P|log1p|uniform|strict18|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,all_network,42,21,0.29238036401122725,0.12212796178776968,-0.07020422543749152,0.9480706082708168
G_PLUS_P|log1p|uniform|strict18|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial,40,20,0.08502614357891937,0.0642126730906427,-0.009692749922850647,0.9878486511979665
G_PLUS_P|log1p|uniform|strict18|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,industrial_descriptive,2,1,1.2847657065037315,1.280433735730309,-1.280433735730309,-36.02208812059766
G_PLUS_P|log1p|uniform|strict18|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_higher,20,10,0.10546446852252762,0.08651273212328972,-0.022739752856528805,0.9662168733607851
G_PLUS_P|log1p|uniform|strict18|500m,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_lower,20,10,0.05775929417043462,0.04191261405799567,0.0033542530108275096,0.9286079456199429
G_PLUS_P|log1p|uniform|strict18|500m,loso,daily,all_expected_targets,all_period,all_network,6462,21,1.9387387255083373,0.6410848935339399,-0.27115779451784583,0.45665661472287555
G_PLUS_P|log1p|uniform|strict18|500m,loso,daily,all_expected_targets,all_period,nonindustrial,6150,20,0.9114589839542595,0.41856465941639676,-0.03281639124371382,0.806816819825644
G_PLUS_P|log1p|uniform|strict18|500m,loso,daily,all_expected_targets,all_period,industrial_descriptive,312,1,7.84047920127738,5.027301046812435,-4.969233532132948,-0.6217217581781453
G_PLUS_P|log1p|uniform|strict18|500m,loso,daily,all_expected_targets,all_period,nonindustrial_higher,2394,10,1.0234521819186642,0.5380034916220343,-0.15696947790440685,0.8353738330175631
G_PLUS_P|log1p|uniform|strict18|500m,loso,daily,all_expected_targets,all_period,nonindustrial_lower,2458,10,0.5816363959183641,0.3009741298615541,0.1453285369846623,0.3839337184820263
G_PLUS_P|log1p|uniform|strict18|500m,loso,daily,all_expected_targets,primary_2024_2025,all_network,5089,21,1.8993258227310443,0.6435310061666987,-0.24606793545182357,0.4397126865705796
G_PLUS_P|log1p|uniform|strict18|500m,loso,daily,all_expected_targets,primary_2024_2025,nonindustrial,4852,20,0.8295785742133278,0.41792555031798223,-0.003826749009655818,0.8193074876958383
G_PLUS_P|log1p|uniform|strict18|500m,loso,daily,all_expected_targets,primary_2024_2025,industrial_descriptive,237,1,7.9606377558141626,5.262255359660253,-5.20536851189654,-0.6939173647068908
G_PLUS_P|log1p|uniform|strict18|500m,loso,daily,all_expected_targets,primary_2024_2025,nonindustrial_higher,2394,10,1.0234521819186642,0.5380034916220343,-0.15696947790440685,0.8353738330175631
G_PLUS_P|log1p|uniform|strict18|500m,loso,daily,all_expected_targets,primary_2024_2025,nonindustrial_lower,2458,10,0.5816363959183641,0.3009741298615541,0.1453285369846623,0.3839337184820263
G_PLUS_P|log1p|uniform|strict18|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,all_network,42,21,1.173360272404881,0.46667671850395914,-0.26490519494910764,0.16366631302635415
G_PLUS_P|log1p|uniform|strict18|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial,40,20,0.29505933531528955,0.2296887243030886,-0.017828624570494507,0.8536683588773488
G_PLUS_P|log1p|uniform|strict18|500m,loso,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,industrial_descriptive,2,1,5.212586755046401,5.206436602521368,-5.206436602521368,-608.4241090589262
