method_a,method_b,protocol,estimand,support,scope,period,metric,units,direction,estimate,ci_low,ci_high,n,n_stations,n_blocks,resampling,seed,replicates,support_sha256
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.2199118609621209,-0.7315503036920364,-0.011707722198415338,5089,21,1,station,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.2706626524722243,-0.5227021475553267,-0.10188277668625516,5089,21,1,station,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,-0.18496590473429947,-0.4613338982744877,0.026622663771098336,5089,21,1,station,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.5245490685503125,-0.7874513025496155,-0.2746236212645369,4852,20,1,station,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.2941388539408408,-0.5259528170108513,-0.11632483654300468,4852,20,1,station,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,-0.16992061874341302,-0.4459326109879536,0.043366639822917344,4852,20,1,station,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.4236832224777354,-0.5660701338526335,-0.2803961538885563,2394,10,1,station,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.21775025566649964,-0.29937175639886277,-0.14054985458236183,2394,10,1,station,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,bias,ng m-3,a_minus_b,0.033006916853634105,-0.17527519162559752,0.21044568581379855,2394,10,1,station,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.679230127837665,-1.130008798037216,-0.13578639330717432,2458,10,1,station,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.3685384895261839,-0.8111779606435618,-0.051325171467639895,2458,10,1,station,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,bias,ng m-3,a_minus_b,-0.36756444308,-0.837205883701389,-0.01284844820186182,2458,10,1,station,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.10683415542148134,-0.7218099798946733,0.12383303334351128,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.21944779485558008,-0.4734003831633522,-0.02412960047214338,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52
