method_a,method_b,protocol,estimand,support,scope,period,metric,units,direction,estimate,ci_low,ci_high,n,n_stations,n_blocks,resampling,seed,replicates,support_sha256,n_station_years,n_reconstructions
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,-0.010390718206236396,-0.026154305260739013,-0.0011019738210166993,378,21,1,station,20260921,2000,c558913d93016eab3c3970ab4e8280b575332b339b25456a6ef9b1d60763b854,42.0,378.0
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.015257163284269168,-0.021017269241912634,-0.009024282925403769,360,20,1,station,20260921,2000,3e0ef5473342981884636471b6f5432f930a746d511ac18b3775e8a4f524d2af,40.0,360.0
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.009441555228004099,-0.014234392808176635,-0.004981886953407561,360,20,1,station,20260921,2000,3e0ef5473342981884636471b6f5432f930a746d511ac18b3775e8a4f524d2af,40.0,360.0
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,-0.0029268107491316146,-0.005496452933536695,-0.0005769979380594553,360,20,1,station,20260921,2000,3e0ef5473342981884636471b6f5432f930a746d511ac18b3775e8a4f524d2af,40.0,360.0
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,daily,common_bracketable,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.5281899795317877,-0.6838141802921786,-0.41447028501283295,5066,21,1,station,20260921,2000,1f7396fddbe1f06a63cffab833b0854bdf33f84b295f0c3534f07e9651d5a267,,
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,daily,common_bracketable,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.2758902562891227,-0.42503807515073194,-0.15964326328593278,5066,21,1,station,20260921,2000,1f7396fddbe1f06a63cffab833b0854bdf33f84b295f0c3534f07e9651d5a267,,
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,daily,common_bracketable,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,0.025148766266216566,-0.03269461057078707,0.06852243050152902,5066,21,1,station,20260921,2000,1f7396fddbe1f06a63cffab833b0854bdf33f84b295f0c3534f07e9651d5a267,,
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,daily,common_bracketable,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.5464450290090971,-0.6997923313343616,-0.3922216268372015,4830,20,1,station,20260921,2000,65ee804fd05f6dd37764a755c988da2c0e677a3a4efc91304bf32cf63ecb3775,,
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,daily,common_bracketable,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.2182044425301375,-0.3069697179725728,-0.1421865450119779,4830,20,1,station,20260921,2000,65ee804fd05f6dd37764a755c988da2c0e677a3a4efc91304bf32cf63ecb3775,,
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,daily,common_bracketable,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,0.04952272363875766,0.02702366215138249,0.07568304762586096,4830,20,1,station,20260921,2000,65ee804fd05f6dd37764a755c988da2c0e677a3a4efc91304bf32cf63ecb3775,,
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.012097354594435589,-0.020366906343295754,-0.00953468143938161,378,21,1,station,20260921,2000,c558913d93016eab3c3970ab4e8280b575332b339b25456a6ef9b1d60763b854,42.0,378.0
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.009887776177502455,-0.014307016750576494,-0.005752442527475569,378,21,1,station,20260921,2000,c558913d93016eab3c3970ab4e8280b575332b339b25456a6ef9b1d60763b854,42.0,378.0
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,0.0025482287417118946,-0.0038568843583163355,0.007487525467209309,378,21,1,station,20260921,2000,c558913d93016eab3c3970ab4e8280b575332b339b25456a6ef9b1d60763b854,42.0,378.0
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.016131389538950144,-0.021558701092274344,-0.010021494243983815,360,20,1,station,20260921,2000,3e0ef5473342981884636471b6f5432f930a746d511ac18b3775e8a4f524d2af,40.0,360.0
G_PLUS_P,INTERP_LOGLINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.009298369427628392,-0.013938071189181696,-0.005115397279727529,360,20,1,station,20260921,2000,3e0ef5473342981884636471b6f5432f930a746d511ac18b3775e8a4f524d2af,40.0,360.0
